epoch,strategy,arm,current reward,cumulative reward,optimal
240,Epsilon Greedy,6,189.28656209053312,38991.16355757379,True
241,Epsilon Greedy,6,190.18473758730394,39181.34829516109,True
242,Epsilon Greedy,6,188.84612344795073,39370.19441860904,True
243,Epsilon Greedy,6,187.16890608386103,39557.3633246929,True
244,Epsilon Greedy,6,189.2824522655088,39746.64577695841,True
245,Epsilon Greedy,9,74.39272805849352,39821.0385050169,False
246,Epsilon Greedy,6,189.63409333789627,40010.672598354795,True
247,Epsilon Greedy,6,190.4487059045514,40201.121304259344,True
248,Epsilon Greedy,6,188.74612228660487,40389.86742654595,True
249,Epsilon Greedy,6,189.92207475949573,40579.789501305444,True
250,Epsilon Greedy,6,191.055233697885,40770.84473500333,True
251,Epsilon Greedy,6,186.99283621448723,40957.83757121782,True
252,Epsilon Greedy,6,188.591438115516,41146.42900933333,True
253,Epsilon Greedy,4,109.78314125009393,41256.21215058343,False
254,Epsilon Greedy,6,188.26669729137907,41444.47884787481,True
255,Epsilon Greedy,6,188.35258664890932,41632.831434523716,True
256,Epsilon Greedy,6,189.9003750537161,41822.73180957743,True
257,Epsilon Greedy,6,189.9974616715395,42012.72927124897,True
258,Epsilon Greedy,7,61.10643476247457,42073.83570601145,False
259,Epsilon Greedy,0,63.14051186454617,42136.976217876,False
260,Epsilon Greedy,6,186.10596506868652,42323.08218294469,True
261,Epsilon Greedy,6,188.93343530029594,42512.01561824498,True
262,Epsilon Greedy,8,153.21354007263895,42665.22915831762,False
263,Epsilon Greedy,8,151.45573580252062,42816.68489412014,False
264,Epsilon Greedy,6,189.51190316512094,43006.19679728526,True
265,Epsilon Greedy,6,187.75955977379243,43193.95635705905,True
266,Epsilon Greedy,6,189.5241054253195,43383.48046248437,True
267,Epsilon Greedy,6,191.35245405835562,43574.83291654272,True
268,Epsilon Greedy,6,188.73986768174515,43763.57278422447,True
269,Epsilon Greedy,6,187.1187628982718,43950.69154712274,True
270,Epsilon Greedy,1,33.38131570698557,43984.07286282973,False
271,Epsilon Greedy,6,189.7015002133882,44173.774363043114,True
272,Epsilon Greedy,6,189.78676509034167,44363.56112813346,True
273,Epsilon Greedy,6,188.65216151389464,44552.21328964735,True
274,Epsilon Greedy,6,189.3744973658587,44741.58778701321,True
275,Epsilon Greedy,6,188.8435190836895,44930.4313060969,True
276,Epsilon Greedy,6,190.51801898775807,45120.94932508466,True
277,Epsilon Greedy,6,190.24047734945998,45311.18980243412,True
278,Epsilon Greedy,2,52.89482716313022,45364.08462959725,False
279,Epsilon Greedy,6,187.60458345547175,45551.68921305273,True
280,Epsilon Greedy,6,188.89125506016555,45740.580468112894,True
281,Epsilon Greedy,6,189.69633030124245,45930.27679841414,True
282,Epsilon Greedy,6,191.7415918894619,46122.0183903036,True
283,Epsilon Greedy,6,187.60027464347766,46309.61866494708,True
284,Epsilon Greedy,6,187.88176550330448,46497.50043045038,True
285,Epsilon Greedy,4,108.74515206070737,46606.24558251109,False
286,Epsilon Greedy,6,188.96883985268062,46795.214422363766,True
287,Epsilon Greedy,6,188.7378901717491,46983.95231253551,True
288,Epsilon Greedy,6,188.05835522054915,47172.01066775606,True
289,Epsilon Greedy,8,150.70628871279882,47322.71695646886,False
290,Epsilon Greedy,4,109.20401850047885,47431.92097496934,False
291,Epsilon Greedy,6,189.12467721583963,47621.04565218518,True
292,Epsilon Greedy,6,188.30815656989085,47809.35380875507,True
293,Epsilon Greedy,6,188.2376020303927,47997.59141078546,True
294,Epsilon Greedy,6,189.58186037334661,48187.17327115881,True
295,Epsilon Greedy,6,188.41790379423034,48375.59117495304,True
296,Epsilon Greedy,6,188.87823007781543,48564.46940503086,True
297,Epsilon Greedy,4,108.3735427740101,48672.84294780487,False
298,Epsilon Greedy,6,190.2412447673552,48863.08419257223,True
299,Epsilon Greedy,6,189.48123355319808,49052.565426125424,True
300,Epsilon Greedy,9,73.58537846394414,49126.15080458937,False
301,Epsilon Greedy,6,188.08366822847748,49314.23447281785,True
302,Epsilon Greedy,6,189.19176115841182,49503.426233976264,True
303,Epsilon Greedy,6,188.9317750396156,49692.35800901588,True
304,Epsilon Greedy,6,189.19633999461954,49881.5543490105,True
305,Epsilon Greedy,6,188.83676065345568,50070.39110966395,True
306,Epsilon Greedy,3,180.6539985117447,50251.04510817569,False
307,Epsilon Greedy,6,190.1079354602176,50441.15304363591,True
308,Epsilon Greedy,6,189.911317484504,50631.064361120414,True
309,Epsilon Greedy,6,190.62887317878412,50821.6932342992,True
310,Epsilon Greedy,6,187.91846808522502,51009.61170238443,True
311,Epsilon Greedy,4,108.63310062524462,51118.24480300967,False
312,Epsilon Greedy,6,190.30334315489188,51308.54814616456,True
313,Epsilon Greedy,6,190.54664853350926,51499.094794698074,True
314,Epsilon Greedy,2,51.28836417284417,51550.38315887092,False
315,Epsilon Greedy,6,188.5923140899669,51738.97547296089,True
316,Epsilon Greedy,6,188.5530560983754,51927.528529059266,True
317,Epsilon Greedy,6,190.09557889880182,52117.624107958065,True
318,Epsilon Greedy,6,190.7826411374094,52308.40674909548,True
319,Epsilon Greedy,6,188.99297246290055,52497.39972155838,True
320,Epsilon Greedy,6,190.1705306492494,52687.57025220763,True
321,Epsilon Greedy,6,188.21951241056402,52875.789764618195,True
322,Epsilon Greedy,6,190.50669691489077,53066.296461533086,True
323,Epsilon Greedy,6,189.2221797940081,53255.51864132709,True
324,Epsilon Greedy,4,108.54028557538267,53364.05892690248,False
325,Epsilon Greedy,6,188.6581073224312,53552.71703422491,True
326,Epsilon Greedy,6,189.8938346941375,53742.610868919044,True
327,Epsilon Greedy,6,188.3032634348465,53930.91413235389,True
328,Epsilon Greedy,6,189.98388363522704,54120.89801598912,True
329,Epsilon Greedy,6,188.05330731822912,54308.95132330735,True
330,Epsilon Greedy,6,188.68683006835957,54497.63815337571,True
331,Epsilon Greedy,6,189.18733237316852,54686.82548574888,True
332,Epsilon Greedy,6,189.2599957608253,54876.085481509705,True
333,Epsilon Greedy,2,55.54811204242936,54931.633593552135,False
334,Epsilon Greedy,6,188.06333360933084,55119.696927161465,True
335,Epsilon Greedy,6,189.50036884697343,55309.19729600844,True
336,Epsilon Greedy,6,187.01958276228405,55496.21687877072,True
337,Epsilon Greedy,6,189.15159770229607,55685.36847647301,True
338,Epsilon Greedy,6,188.77646701540164,55874.14494348841,True
339,Epsilon Greedy,6,189.8451944697499,56063.990137958164,True
340,Epsilon Greedy,6,188.27631666515848,56252.26645462332,True
341,Epsilon Greedy,6,189.92579829729857,56442.19225292062,True
342,Epsilon Greedy,0,62.87821758304807,56505.07047050367,False
343,Epsilon Greedy,6,188.1365034558377,56693.20697395951,True
344,Epsilon Greedy,6,188.65356593171558,56881.860539891226,True
345,Epsilon Greedy,6,190.13052951163615,57071.99106940286,True
346,Epsilon Greedy,6,189.1533507638169,57261.144420166675,True
347,Epsilon Greedy,6,189.50899205963543,57450.65341222631,True
348,Epsilon Greedy,6,189.727851071912,57640.38126329822,True
349,Epsilon Greedy,6,189.41378883431517,57829.79505213254,True
350,Epsilon Greedy,7,60.21832989647385,57890.013382029014,False
351,Epsilon Greedy,6,189.73096997448584,58079.7443520035,True
352,Epsilon Greedy,6,187.0231240274996,58266.767476031004,True
353,Epsilon Greedy,4,109.1018656817149,58375.86934171272,False
354,Epsilon Greedy,6,187.98142753316012,58563.85076924588,True
355,Epsilon Greedy,6,188.27374594486326,58752.12451519074,True
356,Epsilon Greedy,6,187.29586064372555,58939.42037583447,True
357,Epsilon Greedy,6,188.71402549473353,59128.134401329204,True
358,Epsilon Greedy,0,62.19007579863606,59190.32447712784,False
359,Epsilon Greedy,6,189.7398692873205,59380.06434641516,True
360,Epsilon Greedy,6,190.12838739680308,59570.192733811964,True
361,Epsilon Greedy,6,188.76817075907678,59758.96090457104,True
362,Epsilon Greedy,8,151.1930356143623,59910.1539401854,False
363,Epsilon Greedy,8,154.29757278679637,60064.4515129722,False
364,Epsilon Greedy,6,189.6163254840127,60254.06783845621,True
